$CASNumber$,$IngredientName$,$categoryCAS$,$syn_code$,$bgSource$,$prospectCAS$,$curatedCAS$,$recog_syn$,$prospect_CAS_fromIng$,$alt_CAS$,$bgCAS$,$first_date$,$change_date$,$change_comment$
$0.00322$,$oxyalkylated alcohols$,$ambiguousID$,$close_match$,$neither$,$$,$ambiguous$,$$,$non_spec$,$$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0.005$,$9043-30-5$,$ambiguousID$,$no_match$,$neither$,$$,$ambiguous$,$$,$non_spec$,$unk$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0.00611$,$7$,$ambiguousID$,$$,$neither$,$$,$ambiguous$,$$,$$,$$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0.00611$,$7.00$,$ambiguousID$,$no_match$,$neither$,$$,$ambiguous$,$$,$non_spec$,$unk$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0.00679$,$diammonium peroxidisulphate$,$ambiguousID$,$close_match$,$ING_only$,$$,$ambiguous$,$$,$7727-54-0$,$$,$7727-54-0$,$d:2021-10-07$,$$,$$
$0.00732$,$aromatic ketones mixture$,$ambiguousID$,$no_match$,$neither$,$$,$ambiguous$,$$,$non_spec$,$unk$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0.00873$,$10$,$ambiguousID$,$$,$neither$,$$,$ambiguous$,$$,$$,$$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0.00873$,$10.00$,$ambiguousID$,$no_match$,$neither$,$$,$ambiguous$,$$,$non_spec$,$unk$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0.00984$,$1-(1-naphthylmethyl)quinolinium chloride$,$ambiguousID$,$perfect$,$ING_only$,$$,$ambiguous$,$$,$65322-65-8$,$$,$65322-65-8$,$d:2021-10-07$,$$,$$
$0.01$,$100-44-7$,$ambiguousID$,$no_match$,$neither$,$$,$ambiguous$,$$,$non_spec$,$unk$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0.01$,$100-97-0$,$ambiguousID$,$no_match$,$neither$,$$,$ambiguous$,$$,$non_spec$,$unk$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0.01$,$91-20-3$,$ambiguousID$,$no_match$,$neither$,$$,$ambiguous$,$$,$non_spec$,$unk$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0.01391$,$30$,$ambiguousID$,$$,$neither$,$$,$ambiguous$,$$,$$,$$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0.01391$,$30.00$,$ambiguousID$,$no_match$,$neither$,$$,$ambiguous$,$$,$non_spec$,$unk$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0.02$,$108-32-7$,$ambiguousID$,$no_match$,$neither$,$$,$ambiguous$,$$,$non_spec$,$unk$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0.02$,$14807 - 9$,$ambiguousID$,$no_match$,$neither$,$$,$ambiguous$,$$,$non_spec$,$unk$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0.02$,$14808-60-7$,$ambiguousID$,$no_match$,$neither$,$$,$ambiguous$,$$,$non_spec$,$unk$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0.02$,$26266-58-0$,$ambiguousID$,$no_match$,$neither$,$$,$ambiguous$,$$,$non_spec$,$unk$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0.02$,$68439-51-0$,$ambiguousID$,$no_match$,$neither$,$$,$ambiguous$,$$,$non_spec$,$unk$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0.02$,$9043-30-5$,$ambiguousID$,$no_match$,$neither$,$$,$ambiguous$,$$,$non_spec$,$unk$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0.03$,$13598-36-2$,$ambiguousID$,$no_match$,$neither$,$$,$ambiguous$,$$,$non_spec$,$unk$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0.03$,$68953-58-2$,$ambiguousID$,$no_match$,$neither$,$$,$ambiguous$,$$,$non_spec$,$unk$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0.03$,$9003-35-4$,$ambiguousID$,$no_match$,$neither$,$$,$ambiguous$,$$,$non_spec$,$unk$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0.03$,$9043-30-5$,$ambiguousID$,$no_match$,$neither$,$$,$ambiguous$,$$,$non_spec$,$unk$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0.03212$,$100$,$ambiguousID$,$$,$neither$,$$,$ambiguous$,$$,$$,$$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0.03212$,$100.00$,$ambiguousID$,$no_match$,$neither$,$$,$ambiguous$,$$,$non_spec$,$unk$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0.03246$,$70$,$ambiguousID$,$$,$neither$,$$,$ambiguous$,$$,$$,$$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0.03246$,$70.00$,$ambiguousID$,$no_match$,$neither$,$$,$ambiguous$,$$,$non_spec$,$unk$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0.03518$,$80$,$ambiguousID$,$$,$neither$,$$,$ambiguous$,$$,$$,$$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0.03518$,$80.00$,$ambiguousID$,$no_match$,$neither$,$$,$ambiguous$,$$,$non_spec$,$unk$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0.03650$,$distillates (petroleum), hydrotreated light$,$ambiguousID$,$perfect$,$ING_only$,$$,$ambiguous$,$$,$64742-47-8$,$$,$64742-47-8$,$d:2021-10-07$,$$,$$
$0.04$,$1310-73-2$,$ambiguousID$,$no_match$,$neither$,$$,$ambiguous$,$$,$non_spec$,$unk$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0.04617$,$sodium bromate$,$ambiguousID$,$perfect$,$ING_only$,$$,$ambiguous$,$$,$7789-38-0$,$$,$7789-38-0$,$d:2021-10-07$,$$,$$
$0.05$,$107-19-7$,$ambiguousID$,$no_match$,$neither$,$$,$ambiguous$,$$,$non_spec$,$unk$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0.05$,$111-42-2$,$ambiguousID$,$no_match$,$neither$,$$,$ambiguous$,$$,$non_spec$,$unk$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0.05$,$1310-58-3$,$ambiguousID$,$no_match$,$neither$,$$,$ambiguous$,$$,$non_spec$,$unk$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0.05$,$625-45-6$,$ambiguousID$,$no_match$,$neither$,$$,$ambiguous$,$$,$non_spec$,$unk$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0.05$,$64742-94-5$,$ambiguousID$,$no_match$,$neither$,$$,$ambiguous$,$$,$non_spec$,$unk$,$ambiguousID$,$d:2021-10-07$,$$,$$
$0.05$,$68953-58-2$,$ambiguousID$,$no_match$,$neither$,$$,$ambiguous$,$$,$non_spec$,$unk$,$ambiguousID$,$d:2021-10-07$,$$,$$
