$rawName$,$cleanName$,$xlateName$,$status$,$first_date$,$change_date$,$change_comment$
$ACCESS CHEMICALS$,$access chemicals$,$access$,$curated$,$d:2021-07-04$,$$,$$
$ACE$,$ace$,$ace$,$curated$,$d:2021-07-04$,$$,$$
$ACE  COMPLETIONS$,$ace  completions$,$ace$,$curated$,$d:2021-07-04$,$$,$$
$ACE COMPLETIONS$,$ace completions$,$ace$,$curated$,$d:2021-07-04$,$$,$$
$ACE Chemical$,$ace chemical$,$ace$,$curated$,$d:2021-07-04$,$$,$$
$ACE Completions$,$ace completions$,$ace$,$curated$,$d:2021-07-04$,$$,$$
$ACE Completions, LLC$,$ace completions, llc$,$ace$,$curated$,$d:2021-07-04$,$$,$$
$ACID, INC.$,$acid, inc.$,$not a company$,$curated$,$d:2021-07-04$,$$,$$
$ADVANCED$,$advanced$,$ambiguous$,$curated$,$d:2021-07-04$,$$,$$
$ADVANCED STIMULATI$,$advanced stimulati$,$advanced stimulation$,$curated$,$d:2021-07-04$,$$,$$
$ADVANCED STIMULATI ON$,$advanced stimulati on$,$advanced stimulation$,$curated$,$d:2021-07-04$,$$,$$
$ADVANCED STIMULATI ON TECHNOLO GIES$,$advanced stimulati on technolo gies$,$advanced stimulation$,$curated$,$d:2021-07-04$,$$,$$
$ADVANCED STIMULATIO$,$advanced stimulatio$,$advanced stimulation$,$curated$,$d:2021-07-04$,$$,$$
$ADVANCED STIMULATIO N$,$advanced stimulatio n$,$advanced stimulation$,$curated$,$d:2021-07-04$,$$,$$
$ADVANCED STIMULATION$,$advanced stimulation$,$advanced stimulation$,$curated$,$d:2021-07-04$,$$,$$
$ADVANTAGE$,$advantage$,$advantage$,$curated$,$d:2021-07-04$,$$,$$
$AEGIS$,$aegis$,$aegis$,$curated$,$d:2021-07-04$,$$,$$
$AEGIS CHEMICAL SOLUTIONS$,$aegis chemical solutions$,$aegis$,$curated$,$d:2021-07-04$,$$,$$
$AEGIS Chemical Solutions$,$aegis chemical solutions$,$aegis$,$curated$,$d:2021-07-04$,$$,$$
$AES Fluids$,$aes fluids$,$aes frac fluids$,$curated$,$d:2021-07-04$,$$,$$
$AES Frac Fluids$,$aes frac fluids$,$aes frac fluids$,$curated$,$d:2021-07-04$,$$,$$
$AEXCO Petroleum$,$aexco petroleum$,$aexco petroleum$,$curated$,$d:2021-07-04$,$$,$$
$AEXCO Petroleum Inc.$,$aexco petroleum inc.$,$aexco petroleum$,$curated$,$d:2021-07-04$,$$,$$
$AGEIS Chemical Solutions$,$ageis chemical solutions$,$ageis$,$curated$,$d:2021-07-04$,$$,$$
$AGRI-EMPR ESSA$,$agri-empr essa$,$agri-empressa$,$curated$,$d:2021-07-04$,$$,$$
$AGRI-EMPRESA LLC$,$agri-empresa llc$,$agri-empressa$,$curated$,$d:2021-07-04$,$$,$$
$AGRI-IMPRESS$,$agri-impress$,$agri-empressa$,$curated$,$d:2021-07-04$,$$,$$
$AGRI-IMPRESSA$,$agri-impressa$,$agri-empressa$,$curated$,$d:2021-07-04$,$$,$$
$AI Sealing$,$ai sealing$,$ai-sealing$,$curated$,$d:2021-07-04$,$$,$$
$AI Sealing LLC$,$ai sealing llc$,$ai-sealing$,$curated$,$d:2021-07-04$,$$,$$
$AI-SEALING$,$ai-sealing$,$ai-sealing$,$curated$,$d:2021-07-04$,$$,$$
$AI-SEALING, LLC$,$ai-sealing, llc$,$ai-sealing$,$curated$,$d:2021-07-04$,$$,$$
$AI-Sealing$,$ai-sealing$,$ai-sealing$,$curated$,$d:2021-07-04$,$$,$$
$AI-Sealing LLC$,$ai-sealing llc$,$ai-sealing$,$curated$,$d:2021-07-04$,$$,$$
$AI-Sealing, LLC$,$ai-sealing, llc$,$ai-sealing$,$curated$,$d:2021-07-04$,$$,$$
$AIM Services$,$aim services$,$aim services$,$curated$,$d:2021-07-04$,$$,$$
$AIR LIQUIDE$,$air liquide$,$air products/air liquide$,$curated$,$d:2021-07-04$,$$,$$
$AIRE LIQUIDE$,$aire liquide$,$air products/air liquide$,$curated$,$d:2021-07-04$,$$,$$
$AL-SEALING$,$al-sealing$,$ai-sealing$,$curated$,$d:2021-07-04$,$$,$$
$AL-Sealing$,$al-sealing$,$ai-sealing$,$curated$,$d:2021-07-04$,$$,$$
$ALAMO PRESSURE PUMPING$,$alamo pressure pumping$,$alamo pressure pumping$,$curated$,$d:2021-07-04$,$$,$$
$ALAMO PRESSURE PUMPING LLC$,$alamo pressure pumping llc$,$alamo pressure pumping$,$curated$,$d:2021-07-04$,$$,$$
$ALLEN BROTHERS$,$allen brothers$,$allen brothers$,$curated$,$d:2021-07-04$,$$,$$
$ALLIED OIL & GAS SERVICES LLC$,$allied oil & gas services llc$,$allied oil & gas services$,$curated$,$d:2021-07-04$,$$,$$
$ALVARADO 2014 LLC$,$alvarado 2014 llc$,$alvarado 2014$,$curated$,$d:2021-09-12$,$$,$$
$AM Idaho$,$am idaho$,$am idaho$,$curated$,$d:2021-07-04$,$$,$$
$AMEREDEV$,$ameredev$,$ameredev$,$curated$,$d:2021-07-04$,$$,$$
$AMERICAN ENERGY PARTNERS-OK CITY$,$american energy partners-ok city$,$american energy$,$curated$,$d:2021-07-04$,$$,$$
$AMMA$,$amma$,$amma products$,$curated$,$d:2021-07-04$,$$,$$
$AMMA PRODUCTS$,$amma products$,$amma products$,$curated$,$d:2021-07-04$,$$,$$
$AMMONIUM PERSULFATE  BREAKER   AMMONIUM PERSULFATE$,$ammonium persulfate  breaker   ammonium persulfate$,$not a company$,$curated$,$d:2021-07-04$,$$,$$
$AMMONIUM PERSULFATE/BREAKER$,$ammonium persulfate/breaker$,$not a company$,$curated$,$d:2021-07-04$,$$,$$
$AMP Chemical$,$amp chemical$,$amp chemical$,$curated$,$d:2021-07-04$,$$,$$
$AMROX Chem$,$amrox chem$,$amrox$,$curated$,$d:2021-07-04$,$$,$$
$AMTEX ENERGY, INC$,$amtex energy, inc$,$amtex energy$,$curated$,$d:2021-07-04$,$$,$$
$ANADARKO$,$anadarko$,$anadarko petroleum$,$curated$,$d:2021-07-04$,$$,$$
$ANADARKO E&P$,$anadarko e&p$,$anadarko petroleum$,$curated$,$d:2021-07-04$,$$,$$
$ANADARKO PETROLEUM$,$anadarko petroleum$,$anadarko petroleum$,$curated$,$d:2021-07-04$,$$,$$
$ANCHOR DRILLING FLUIDS USA INC$,$anchor drilling fluids usa inc$,$anchor$,$curated$,$d:2021-07-04$,$$,$$
$ANTERO RESOURCE S$,$antero resource s$,$antero$,$curated$,$d:2021-07-04$,$$,$$
$ANTERO RESOURCES$,$antero resources$,$antero$,$curated$,$d:2021-07-04$,$$,$$
$AOG OPERATING, LLC$,$aog operating, llc$,$aog operating$,$curated$,$d:2021-07-04$,$$,$$
$AOGP, LLC$,$aogp, llc$,$aogp$,$curated$,$d:2021-07-04$,$$,$$
$APACHE CORPORATION$,$apache corporation$,$apache$,$curated$,$d:2021-07-04$,$$,$$
$APACHE CORPORATION-HOUSTON$,$apache corporation-houston$,$apache$,$curated$,$d:2021-07-04$,$$,$$
$APB-1$,$apb-1$,$apb-1$,$curated$,$d:2021-07-04$,$$,$$
$APC$,$apc$,$apc$,$curated$,$d:2021-07-04$,$$,$$
$APEX RESOURCES INC.$,$apex resources inc.$,$apex$,$curated$,$d:2021-07-04$,$$,$$
$APOLLO$,$apollo$,$apollo$,$curated$,$d:2021-07-04$,$$,$$
$APP$,$app$,$ambiguous$,$curated$,$d:2021-07-04$,$$,$$
$APPALACHIAN ENERGY INC$,$appalachian energy inc$,$appalachian energy$,$curated$,$d:2021-07-04$,$$,$$
$APPI$,$appi$,$appi$,$curated$,$d:2021-07-04$,$$,$$
$AQUALON$,$aqualon$,$aqualon$,$curated$,$d:2021-07-04$,$$,$$
$AQUASERV$,$aquaserv$,$aquaserv$,$curated$,$d:2021-07-04$,$$,$$
$AQUASMART$,$aquasmart$,$aquasmart$,$curated$,$d:2021-07-04$,$$,$$
$ARC Products Inc.$,$arc products inc.$,$arc products$,$curated$,$d:2021-07-04$,$$,$$
$ARCHER$,$archer$,$archer$,$curated$,$d:2021-07-04$,$$,$$
$ARCHER PRESSURE$,$archer pressure$,$archer$,$curated$,$d:2021-07-04$,$$,$$
$ARCHER PRESSURE PUMPING$,$archer pressure pumping$,$archer$,$curated$,$d:2021-07-04$,$$,$$
